NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:const_setup,PushPop,366825,366825,1,1,448,448.0,448.0,448,448,0.0,loop_slice_fusion
:deep,PushPop,366825,366825,2,2,1675966,837983.0,837983.0,833023,842943,7014.5,loop_add_fusion
:deep,PushPop,366825,366825,2,2,1091485,545742.5,545742.5,544479,547006,1786.9,loop_add_multiply_fusion
:deep,PushPop,366825,366825,2,2,521245,260622.5,260622.5,260606,260639,23.3,loop_slice_fusion
:deep,PushPop,366825,366825,2,2,2112,1056.0,1056.0,960,1152,135.8,loop_multiply_fusion
:evals,PushPop,366825,366825,2,2,1175966,587983.0,587983.0,587903,588063,113.1,input_reduce_fusion
:evals,PushPop,366825,366825,2,2,740543,370271.5,370271.5,369887,370656,543.8,input_reduce_fusion_1
:evals,PushPop,366825,366825,2,2,493055,246527.5,246527.5,246367,246688,227.0,loop_slice_fusion
:evals,PushPop,366825,366825,2,2,109184,54592.0,54592.0,54336,54848,362.0,input_scatter_fusion
:evals,PushPop,366825,366825,2,2,12832,6416.0,6416.0,6368,6464,67.9,wrapped_reduce
:evals,PushPop,366825,366825,2,2,1632,816.0,816.0,800,832,22.6,wrapped_broadcast
:evals,PushPop,366825,366825,2,2,1120,560.0,560.0,416,704,203.6,loop_broadcast_fusion
:quotient_524288,PushPop,366825,366825,16,16,1135869,70991.8,71327.5,65696,80064,4018.4,loop_add_gather_fusion
:quotient_524288,PushPop,366825,366825,16,16,874649,54665.6,54623.5,52032,57887,1672.6,loop_add_gather_multiply_subtract_fusion
:quotient_524288,PushPop,366825,366825,16,16,857950,53621.9,53488.0,52352,55392,796.7,loop_add_fusion
:quotient_524288,PushPop,366825,366825,16,16,411839,25739.9,25744.0,24992,26304,380.1,loop_multiply_fusion_1
:quotient_524288,PushPop,366825,366825,16,16,210042,13127.6,12847.5,12255,15167,867.0,loop_multiply_fusion
:quotient_524288,PushPop,366825,366825,16,16,67712,4232.0,4272.0,3872,4672,247.7,loop_subtract_fusion_1
:quotient_524288,PushPop,366825,366825,16,16,58335,3645.9,3487.5,3200,4224,335.3,loop_add_fusion_1
:quotient_524288,PushPop,366825,366825,16,16,47680,2980.0,2976.0,2656,3104,107.0,loop_subtract_fusion
:quotient_524288,PushPop,366825,366825,16,16,44416,2776.0,2752.0,2688,2880,63.5,loop_multiply_fusion_2
:quotient_524288,PushPop,366825,366825,16,16,22464,1404.0,1376.0,1312,1568,74.7,loop_subtract_fusion_2
:quotient_524288,PushPop,366825,366825,16,16,14240,890.0,864.0,832,1024,58.7,loop_add_fusion_2
:quotient_524288,PushPop,366825,366825,16,16,14176,886.0,896.0,544,1024,106.3,loop_pad_slice_fusion
:quotient_524288,PushPop,366825,366825,16,16,14016,876.0,832.0,672,1280,153.2,loop_slice_fusion
:quotient_commit,PushPop,366825,366825,2,2,17609665,8804832.5,8804832.5,8785840,8823825,26859.5,sponge_hash_1
:quotient_commit,PushPop,366825,366825,2,2,4714969,2357484.5,2357484.5,2352253,2362716,7398.5,sparse_poseidon_11
:quotient_commit,PushPop,366825,366825,2,2,1413246,706623.0,706623.0,706271,706975,497.8,sparse_poseidon_12
:quotient_commit,PushPop,366825,366825,2,4,1073339,268334.8,268703.0,265950,269983,1779.0,ntt_pass_fusion_3
:quotient_commit,PushPop,366825,366825,2,4,840031,210007.8,209680.0,209184,211487,1020.3,ntt_pass_fusion_2
:quotient_commit,PushPop,366825,366825,2,2,543197,271598.5,271598.5,271103,272094,700.7,ntt_pass_fusion_1
:quotient_commit,PushPop,366825,366825,2,2,538944,269472.0,269472.0,265952,272992,4978.0,sparse_poseidon_13
:quotient_commit,PushPop,366825,366825,2,2,486464,243232.0,243232.0,243008,243456,316.8,loop_transpose_fusion_1
:quotient_commit,PushPop,366825,366825,2,2,480190,240095.0,240095.0,239743,240447,497.8,loop_transpose_fusion
:quotient_commit,PushPop,366825,366825,2,2,418080,209040.0,209040.0,207712,210368,1878.1,ntt_pass_fusion
:quotient_commit,PushPop,366825,366825,2,2,416256,208128.0,208128.0,207584,208672,769.3,loop_reshape_fusion
:quotient_commit,PushPop,366825,366825,2,2,320448,160224.0,160224.0,160032,160416,271.5,sparse_poseidon_18
